dataset,split,meeting,race_number,horse_number,horse_name,is_debut,score_pure_scaffold,score_surgical_speed_shape_neutral,score_surgical_plus_trainer,score_surgical_plus_trainer_stability,rank_pure_scaffold,rank_surgical_speed_shape_neutral,rank_surgical_plus_trainer,rank_surgical_plus_trainer_stability
archive,archive_development,2026-04-12_ShaTin,1,1,嘉應感恩,0,61.709,60.2447,60.9987,60.9987,6,3,2,2
archive,archive_development,2026-04-12_ShaTin,1,2,通情達理,0,67.4865,63.6465,64.4898,64.4898,1,1,1,1
archive,archive_development,2026-04-12_ShaTin,1,3,銀騎士,0,62.2315,60.0017,58.8346,58.8346,4,5,4,4
archive,archive_development,2026-04-12_ShaTin,1,4,盛世英雄,0,62.6126,61.8241,59.0073,59.0073,3,2,3,3
archive,archive_development,2026-04-12_ShaTin,1,5,雙劍合璧,0,61.8088,60.2447,58.5452,58.5452,5,4,5,5
archive,archive_development,2026-04-12_ShaTin,1,6,精英奪冠,0,63.3783,60.0017,57.8816,57.8816,2,6,6,6
archive,archive_development,2026-04-12_ShaTin,2,1,同有運,0,62.9917,62.3441,58.544,59.1082,5,4,9,12
archive,archive_development,2026-04-12_ShaTin,2,2,心愛的,0,62.9911,61.5169,58.8411,60.2507,6,6,8,7
archive,archive_development,2026-04-12_ShaTin,2,3,駟跑得,0,57.7577,60.7856,59.9927,60.8481,11,9,6,5
archive,archive_development,2026-04-12_ShaTin,2,4,八里旺,0,60.7369,59.0349,58.2197,58.8376,7,12,10,14
archive,archive_development,2026-04-12_ShaTin,2,5,雪茄福星,0,58.8083,62.0025,60.193,61.461,9,5,5,4
archive,archive_development,2026-04-12_ShaTin,2,6,鑽得勝,0,64.3419,60.6181,57.8855,59.4401,4,10,12,9
archive,archive_development,2026-04-12_ShaTin,2,7,本能,0,54.492,57.7417,57.7919,59.1972,14,14,14,11
archive,archive_development,2026-04-12_ShaTin,2,8,迅意,0,66.7134,63.6167,59.5378,60.1131,3,2,7,8
archive,archive_development,2026-04-12_ShaTin,2,9,順善寶,0,69.4089,65.7406,61.7863,62.2221,1,1,1,1
archive,archive_development,2026-04-12_ShaTin,2,10,怡昌奇兵,0,57.664,61.1525,61.7186,61.9441,12,8,2,2
archive,archive_development,2026-04-12_ShaTin,2,11,熊噹噹,0,58.0442,61.183,61.5316,61.8693,10,7,3,3
archive,archive_development,2026-04-12_ShaTin,2,12,劍無情,0,66.9307,62.8134,60.4213,60.7319,2,3,4,6
archive,archive_development,2026-04-12_ShaTin,2,13,駿先生,0,60.2584,58.701,58.1403,58.8531,8,13,11,13
archive,archive_development,2026-04-12_ShaTin,2,14,鼓浪飛凡,0,56.4141,59.4974,57.8185,59.221,13,11,13,10
archive,archive_development,2026-04-12_ShaTin,3,1,特別美麗,0,61.1641,64.2474,64.2124,64.0205,9,3,1,1
archive,archive_development,2026-04-12_ShaTin,3,2,滿洛城,0,64.0452,63.1588,60.4089,61.6145,5,4,7,6
archive,archive_development,2026-04-12_ShaTin,3,3,鐵甲驌龍,0,61.3795,59.8439,58.2709,58.9986,7,11,11,12
archive,archive_development,2026-04-12_ShaTin,3,4,籐王駒,0,58.4229,61.4507,61.5343,62.0975,12,7,4,2
archive,archive_development,2026-04-12_ShaTin,3,5,金鑽精靈,0,67.5745,64.4224,61.1998,60.8713,1,2,5,9
archive,archive_development,2026-04-12_ShaTin,3,6,志醒大將,0,61.8698,65.4138,61.7998,61.8428,6,1,3,3
archive,archive_development,2026-04-12_ShaTin,3,7,型到爆,0,59.2659,62.6989,62.2997,61.7148,11,5,2,4
archive,archive_development,2026-04-12_ShaTin,3,8,海洋帝君,0,55.5741,57.9528,57.3777,58.7555,14,14,14,13
archive,archive_development,2026-04-12_ShaTin,3,9,威威父子,0,61.3315,60.3896,60.0794,61.1617,8,10,8,7
archive,archive_development,2026-04-12_ShaTin,3,10,金德義,0,60.8925,59.5293,58.9378,59.6988,10,12,10,10
archive,archive_development,2026-04-12_ShaTin,3,11,極速之子,0,66.0942,61.9431,61.1165,61.6844,2,6,6,5
archive,archive_development,2026-04-12_ShaTin,3,12,領航傳祺,0,64.2153,60.8243,59.9423,61.0491,4,9,9,8
archive,archive_development,2026-04-12_ShaTin,3,13,同寶寶,0,65.4688,61.2623,57.4188,58.3806,3,8,13,14
archive,archive_development,2026-04-12_ShaTin,3,14,不假外求,0,56.4564,59.0569,57.7067,59.24,13,13,12,11
archive,archive_development,2026-04-12_ShaTin,4,1,光年八十,0,57.432,60.9158,61.4819,61.3976,13,7,4,5
archive,archive_development,2026-04-12_ShaTin,4,2,開心老闆,0,59.3383,62.7021,62.9727,62.4842,10,5,3,3
archive,archive_development,2026-04-12_ShaTin,4,3,醒目先駒,0,64.7551,60.4931,60.8417,61.1449,3,9,7,7
archive,archive_development,2026-04-12_ShaTin,4,4,駿馬之光,0,62.5595,59.0946,57.5391,59.0937,5,12,14,13
archive,archive_development,2026-04-12_ShaTin,4,5,創寶駒,0,60.2971,63.8411,61.1885,61.412,9,4,5,4
archive,archive_development,2026-04-12_ShaTin,4,6,大輝煌,0,57.3987,60.1993,59.354,59.354,14,10,8,11
archive,archive_development,2026-04-12_ShaTin,4,7,龍傲綾羅,0,69.1727,68.5159,66.6223,66.1204,2,1,1,1
archive,archive_development,2026-04-12_ShaTin,4,8,開心旺財,0,63.3579,61.8376,58.362,59.2136,4,6,12,12
archive,archive_development,2026-04-12_ShaTin,4,9,騰達勇士,0,62.0442,64.9194,60.9652,61.3304,7,3,6,6
