dataset,split,meeting,race_number,horse_number,horse_name,is_debut,current_horse_health,rebuilt_readiness_risk,readiness_reliability,current_trainer_signal,trainer_reliability,score_pure_scaffold,adjusted_health_readiness_slot_only,adjusted_trainer_readiness_slot_only,score_readiness_slot_only,adjusted_health_trainer_reliability_shrink_only,adjusted_trainer_trainer_reliability_shrink_only,score_trainer_reliability_shrink_only,adjusted_health_readiness_plus_trainer_shrink,adjusted_trainer_readiness_plus_trainer_shrink,score_readiness_plus_trainer_shrink,rank_pure_scaffold,rank_readiness_slot_only,rank_trainer_reliability_shrink_only,rank_readiness_plus_trainer_shrink
archive,archive_development,2026-04-12_ShaTin,1,1,嘉應感恩,0,63.1,59.5,0.5,60.0,0.5122,61.709,59.5,60.0,61.5729,63.1,60.0,61.709,59.5,60.0,61.5729,6,6,6,6
archive,archive_development,2026-04-12_ShaTin,1,2,通情達理,0,63.1,59.5,0.5,75.4,0.6078,67.4865,59.5,75.4,67.3505,63.1,69.3601,66.1523,59.5,69.3601,66.0163,1,1,1,1
archive,archive_development,2026-04-12_ShaTin,1,3,銀騎士,0,63.1,59.5,0.5,58.9,0.5745,62.2315,59.5,58.9,62.0954,63.1,59.368,62.3348,59.5,59.368,62.1988,4,4,3,3
archive,archive_development,2026-04-12_ShaTin,1,4,盛世英雄,0,63.1,59.5,0.5,67.15,0.6,62.6126,59.5,67.15,62.4765,63.1,64.29,61.9808,59.5,64.29,61.8447,3,3,4,4
archive,archive_development,2026-04-12_ShaTin,1,5,雙劍合璧,0,63.1,59.5,0.5,60.0,0.4872,61.8088,59.5,60.0,61.6728,63.1,60.0,61.8088,59.5,60.0,61.6728,5,5,5,5
archive,archive_development,2026-04-12_ShaTin,1,6,精英奪冠,0,63.1,59.5,0.5,58.9,0.5349,63.3783,59.5,58.9,63.2422,63.1,59.4116,63.4913,59.5,59.4116,63.3553,2,2,2,2
archive,archive_development,2026-04-12_ShaTin,2,1,同有運,0,64.75,61.0,0.5,72.25,0.6882,62.9917,61.0,72.25,62.85,64.75,68.4305,62.148,61.0,68.4305,62.0063,5,6,6,6
archive,archive_development,2026-04-12_ShaTin,2,2,心愛的,0,61.25,61.0,0.5,79.16,0.8239,62.9911,61.0,79.16,62.9816,61.25,75.7859,62.2458,61.0,75.7859,62.2363,6,5,5,5
archive,archive_development,2026-04-12_ShaTin,2,3,駟跑得,0,60.7,60.5,0.5,64.95,0.8265,57.7577,60.5,64.95,57.7502,60.7,64.0912,57.568,60.5,64.0912,57.5605,11,11,12,12
archive,archive_development,2026-04-12_ShaTin,2,4,八里旺,0,61.25,61.0,0.5,59.325,0.7856,60.7369,61.0,59.325,60.7274,61.25,59.4697,60.7688,61.0,59.4697,60.7594,7,7,7,7
