dataset,meeting,race_number,case_type,primary_cause,secondary_causes,model_top3,actual_top3,evidence
archive,2026-04-12_ShaTin,4,第三選已入前三,第三選排序／上限壓低,[],"[""#14 全神貫注"", ""#7 龍傲綾羅"", ""#3 醒目先駒""]","[""#2 開心老闆"", ""#3 醒目先駒"", ""#5 創寶駒""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":4.42,""rank3_actual_finish"":2,""signal_deltas"":{""speed"":0.0,""formline"":0.7,""class_context"":0.0,""distance_context"":0.0,""risk"":1.0,""confidence"":0.0},""rank2"":{""number"":7,""name"":""龍傲綾羅"",""rank"":2,""score"":69.17,""speed"":60.0,""formline"":64.9,""class_context"":68.39,""distance_context"":60.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null},""rank3"":{""number"":3,""name"":""醒目先駒"",""rank"":3,""score"":64.75,""speed"":60.0,""formline"":65.6,""class_context"":68.39,""distance_context"":60.0,""risk"":65.0,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null}}"
archive,2026-04-12_ShaTin,5,第三選已入前三,第三選排序／上限壓低,[],"[""#3 錶之浩瀚"", ""#4 龍之悅"", ""#5 輝灑自如""]","[""#5 輝灑自如"", ""#1 辣得準"", ""#10 華麗再贏""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.67,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":0.0,""formline"":0.0,""class_context"":-4.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0},""rank2"":{""number"":4,""name"":""龍之悅"",""rank"":2,""score"":67.07,""speed"":60.0,""formline"":60.0,""class_context"":64.0,""distance_context"":60.0,""risk"":62.0,""confidence"":66.0,""neutral_context_count"":3,""explicit_missing_context_count"":null},""rank3"":{""number"":5,""name"":""輝灑自如"",""rank"":3,""score"":66.4,""speed"":60.0,""formline"":60.0,""class_context"":60.0,""distance_context"":60.0,""risk"":62.0,""confidence"":66.0,""neutral_context_count"":4,""explicit_missing_context_count"":null}}"
archive,2026-04-12_ShaTin,7,第三選已入前三,第三選排序／上限壓低,"[""第二／第三選分差極近（0.21）""]","[""#11 隋我同來"", ""#9 盛勢威楓"", ""#2 自動自覺""]","[""#13 豐功偉績"", ""#3 哥倫布"", ""#2 自動自覺""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.21,""rank3_actual_finish"":3,""signal_deltas"":{""speed"":0.0,""formline"":2.8,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0},""rank2"":{""number"":9,""name"":""盛勢威楓"",""rank"":2,""score"":68.42,""speed"":60.0,""formline"":61.4,""class_context"":68.39,""distance_context"":60.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null},""rank3"":{""number"":2,""name"":""自動自覺"",""rank"":3,""score"":68.21,""speed"":60.0,""formline"":64.2,""class_context"":68.39,""distance_context"":60.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null}}"
archive,2026-04-15_HappyValley,4,第三選已入前三,第三選排序／上限壓低,"[""第二／第三選分差極近（0.10）""]","[""#2 浪漫老撾"", ""#7 獎星"", ""#4 香港神駒""]","[""#4 香港神駒"", ""#10 竣誠駒"", ""#11 夢照發""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.1,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":0.0,""formline"":-4.9,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0},""rank2"":{""number"":7,""name"":""獎星"",""rank"":2,""score"":67.36,""speed"":60.0,""formline"":65.6,""class_context"":60.0,""distance_context"":60.0,""risk"":63.0,""confidence"":54.0,""neutral_context_count"":3,""explicit_missing_context_count"":null},""rank3"":{""number"":4,""name"":""香港神駒"",""rank"":3,""score"":67.26,""speed"":60.0,""formline"":60.7,""class_context"":60.0,""distance_context"":60.0,""risk"":63.0,""confidence"":54.0,""neutral_context_count"":3,""explicit_missing_context_count"":null}}"
archive,2026-04-15_HappyValley,6,模型頭三全失,未解釋／整體辨識失敗,[],"[""#8 川河石駒"", ""#12 飛越晨曦"", ""#7 方圓星""]","[""#3 勇霸龍"", ""#9 快樂神駒"", ""#1 馬達""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.0,""formline"":64.667,""class_context"":60.0,""distance_context"":60.0,""risk"":63.0,""confidence"":54.0,""neutral_context_count"":3,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":64.2,""class_context"":60.0,""distance_context"":60.0,""risk"":63.0,""confidence"":54.0,""neutral_context_count"":3,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":0.0,""formline"":-0.467,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0},""neutral_context_delta"":0,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.0}"
archive,2026-04-19_ShaTin,3,模型頭三全失,未解釋／整體辨識失敗,[],"[""#2 飛輪霸"", ""#9 步步合拍"", ""#11 飛來霸""]","[""#4 勝萬金"", ""#7 支付之父"", ""#1 日出東方""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.0,""formline"":61.633,""class_context"":60.947,""distance_context"":58.0,""risk"":63.333,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":62.567,""class_context"":60.947,""distance_context"":58.0,""risk"":63.667,""confidence"":62.0,""neutral_context_count"":2.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":0.0,""formline"":0.934,""class_context"":0.0,""distance_context"":0.0,""risk"":0.334,""confidence"":-4.0},""neutral_context_delta"":0.333,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":4.0,""model_minus_actual_risk"":-0.334}"
archive,2026-04-19_ShaTin,4,第三選已入前三,第三選排序／上限壓低,[],"[""#1 輕功猛男"", ""#13 文武全能"", ""#4 共創歡欣""]","[""#11 洪才"", ""#10 有情有義"", ""#4 共創歡欣""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.77,""rank3_actual_finish"":3,""signal_deltas"":{""speed"":0.0,""formline"":2.1,""class_context"":-9.55,""distance_context"":-6.0,""risk"":0.0,""confidence"":0.0},""rank2"":{""number"":13,""name"":""文武全能"",""rank"":2,""score"":66.05,""speed"":60.0,""formline"":62.8,""class_context"":64.0,""distance_context"":60.0,""risk"":65.0,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null},""rank3"":{""number"":4,""name"":""共創歡欣"",""rank"":3,""score"":65.28,""speed"":60.0,""formline"":64.9,""class_context"":54.45,""distance_context"":54.0,""risk"":65.0,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null}}"
archive,2026-04-26_ShaTin,3,第三選已入前三,第三選排序／上限壓低,"[""form line支持第三選（+12.6）"", ""第三選信心分較高（+12.0）""]","[""#1 超和平"", ""#9 幸福約定"", ""#2 堅先生""]","[""#2 堅先生"", ""#13 天天更好"", ""#6 實力加""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.35,""rank3_actual_finish"":1,""signal_deltas"":{""speed"":0.0,""formline"":12.6,""class_context"":4.0,""distance_context"":0.0,""risk"":2.0,""confidence"":12.0},""rank2"":{""number"":9,""name"":""幸福約定"",""rank"":2,""score"":67.22,""speed"":60.0,""formline"":60.0,""class_context"":60.0,""distance_context"":60.0,""risk"":62.0,""confidence"":54.0,""neutral_context_count"":4,""explicit_missing_context_count"":null},""rank3"":{""number"":2,""name"":""堅先生"",""rank"":3,""score"":66.87,""speed"":60.0,""formline"":72.6,""class_context"":64.0,""distance_context"":60.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null}}"
archive,2026-04-26_ShaTin,7,模型頭三全失,未解釋／整體辨識失敗,[],"[""#14 小鳥天堂"", ""#10 白鷺金剛"", ""#4 金鑽貴人""]","[""#5 祝願"", ""#9 百賀飛駒"", ""#3 港邊小區""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.0,""formline"":75.167,""class_context"":68.39,""distance_context"":68.0,""risk"":64.667,""confidence"":66.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":76.333,""class_context"":59.097,""distance_context"":60.0,""risk"":61.333,""confidence"":64.333,""neutral_context_count"":1.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":0.0,""formline"":1.166,""class_context"":-9.293,""distance_context"":-8.0,""risk"":-3.334,""confidence"":-1.667},""neutral_context_delta"":0.0,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":1.667,""model_minus_actual_risk"":3.334}"
archive,2026-04-26_ShaTin,10,模型頭三全失,路程context辨識不足,"[""班次context辨識不足（+9.4）""]","[""#10 紫荊拼搏"", ""#14 金滙千帥"", ""#6 共享富裕""]","[""#8 火悟空"", ""#5 開心勇駒"", ""#3 安都""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.0,""formline"":77.967,""class_context"":58.967,""distance_context"":62.0,""risk"":65.0,""confidence"":66.0,""neutral_context_count"":2,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":73.3,""class_context"":68.39,""distance_context"":72.0,""risk"":64.333,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":0.0,""formline"":-4.667,""class_context"":9.423,""distance_context"":10.0,""risk"":-0.667,""confidence"":0.0},""neutral_context_delta"":-1,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.0,""model_minus_actual_risk"":0.667}"
archive,2026-04-29_HappyValley,1,模型頭三全失,未解釋／整體辨識失敗,[],"[""#7 幸運同行"", ""#11 鼓浪飛凡"", ""#6 架勢奇爸""]","[""#4 滿洛城"", ""#3 揚威四海"", ""#5 富裕君子""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":60.0,""formline"":78.2,""class_context"":61.333,""distance_context"":66.667,""risk"":64.333,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":79.133,""class_context"":57.633,""distance_context"":61.333,""risk"":64.333,""confidence"":65.077,""neutral_context_count"":1.667,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":0.0,""formline"":0.933,""class_context"":-3.7,""distance_context"":-5.334,""risk"":0.0,""confidence"":-0.923},""neutral_context_delta"":0.667,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":0.923,""model_minus_actual_risk"":0.0}"
archive,2026-04-29_HappyValley,3,第三選已入前三,第三選排序／上限壓低,"[""第二／第三選分差極近（0.49）""]","[""#2 大千氣象"", ""#9 禾道威"", ""#5 雙贏""]","[""#10 佰勝金龍"", ""#5 雙贏"", ""#8 富喜來""]","{""comparison"":""rank3_minus_rank2"",""score_gap_rank2_rank3"":0.49,""rank3_actual_finish"":2,""signal_deltas"":{""speed"":0.0,""formline"":1.4,""class_context"":0.0,""distance_context"":0.0,""risk"":0.0,""confidence"":0.0},""rank2"":{""number"":9,""name"":""禾道威"",""rank"":2,""score"":68.58,""speed"":60.0,""formline"":75.4,""class_context"":68.39,""distance_context"":72.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null},""rank3"":{""number"":5,""name"":""雙贏"",""rank"":3,""score"":68.09,""speed"":60.0,""formline"":76.8,""class_context"":68.39,""distance_context"":72.0,""risk"":64.0,""confidence"":66.0,""neutral_context_count"":1,""explicit_missing_context_count"":null}}"
archive,2026-05-03_ShaTin,1,模型頭三全失,未解釋／整體辨識失敗,[],"[""#2 金風萬里"", ""#5 首駿"", ""#14 紅旺繽紛""]","[""#13 城中勇士"", ""#9 八里旺"", ""#11 皇金合""]","{""comparison"":""actual_top3_minus_model_top3"",""model_top3_mean"":{""speed"":64.647,""formline"":78.633,""class_context"":74.583,""distance_context"":72.0,""risk"":64.5,""confidence"":71.667,""neutral_context_count"":0.667,""explicit_missing_context_count"":null},""actual_top3_mean"":{""speed"":60.0,""formline"":73.767,""class_context"":74.583,""distance_context"":68.0,""risk"":64.667,""confidence"":66.0,""neutral_context_count"":1.333,""explicit_missing_context_count"":null},""signal_deltas"":{""speed"":-4.647,""formline"":-4.866,""class_context"":0.0,""distance_context"":-4.0,""risk"":0.167,""confidence"":-5.667},""neutral_context_delta"":0.666,""explicit_missing_context_delta"":null,""model_minus_actual_confidence"":5.667,""model_minus_actual_risk"":-0.167}"
