dimension,bucket,races,sample_flag,zero_hit,zero_hit_rate,one_hit,one_hit_rate,two_hit,two_hit_rate,zero_or_one_rate,winner_top2_rate,third_pick_hit_rate,direct_challenger_opportunities,direct_challenger_rate
全體,全體,245,stable,75,30.6,117,47.8,53,21.6,78.4,37.6,36.3,58,23.7
時段,archive,127,stable,33,26.0,60,47.2,34,26.8,73.2,42.5,31.5,24,18.9
時段,external_2026_07_15,9,small,5,55.6,1,11.1,3,33.3,66.7,11.1,44.4,4,44.4
時段,independent_recent,109,stable,37,33.9,56,51.4,16,14.7,85.3,33.9,41.3,30,27.5
賽日,2026-04-12_ShaTin,10,small,3,30.0,2,20.0,5,50.0,50.0,40.0,30.0,3,30.0
賽日,2026-04-15_HappyValley,9,small,2,22.2,5,55.6,2,22.2,77.8,33.3,44.4,2,22.2
賽日,2026-04-19_ShaTin,10,small,2,20.0,3,30.0,5,50.0,50.0,60.0,30.0,1,10.0
賽日,2026-04-22_HappyValley,8,small,0,0.0,5,62.5,3,37.5,62.5,37.5,25.0,1,12.5
賽日,2026-04-26_ShaTin,11,small,3,27.3,7,63.6,1,9.1,90.9,54.5,36.4,1,9.1
賽日,2026-04-29_HappyValley,9,small,2,22.2,4,44.4,3,33.3,66.7,55.6,33.3,2,22.2
賽日,2026-05-03_ShaTin,11,small,2,18.2,6,54.5,3,27.3,72.7,45.5,36.4,3,27.3
賽日,2026-05-06_ShaTin,9,small,1,11.1,4,44.4,4,44.4,55.6,55.6,0.0,0,0.0
賽日,2026-05-09_ShaTin,11,small,6,54.5,4,36.4,1,9.1,90.9,18.2,36.4,4,36.4
賽日,2026-05-13_HappyValley,9,small,2,22.2,4,44.4,3,33.3,66.7,44.4,33.3,0,0.0
賽日,2026-05-17_ShaTin,11,small,3,27.3,7,63.6,1,9.1,90.9,18.2,45.5,3,27.3
賽日,2026-05-20_HappyValley,9,small,2,22.2,5,55.6,2,22.2,77.8,44.4,33.3,2,22.2
賽日,2026-05-24_ShaTin,10,small,5,50.0,4,40.0,1,10.0,90.0,50.0,20.0,2,20.0
賽日,2026-05-27_HappyValley,8,small,3,37.5,4,50.0,1,12.5,87.5,37.5,0.0,0,0.0
賽日,2026-06-03_HappyValley,8,small,1,12.5,6,75.0,1,12.5,87.5,62.5,50.0,3,37.5
賽日,2026-06-07_ShaTin,9,small,3,33.3,3,33.3,3,33.3,66.7,22.2,33.3,1,11.1
賽日,2026-06-10_HappyValley,9,small,5,55.6,4,44.4,0,0.0,100.0,11.1,77.8,6,66.7
賽日,2026-06-13_ShaTin,11,small,4,36.4,5,45.5,2,18.2,81.8,18.2,18.2,1,9.1
賽日,2026-06-21_ShaTin,11,small,5,45.5,5,45.5,1,9.1,90.9,45.5,36.4,3,27.3
賽日,2026-06-27_ShaTin,11,small,5,45.5,4,36.4,2,18.2,81.8,36.4,45.5,3,27.3
賽日,2026-07-01_ShaTin,11,small,2,18.2,6,54.5,3,27.3,72.7,36.4,45.5,3,27.3
賽日,2026-07-04_ShaTin,11,small,1,9.1,8,72.7,2,18.2,81.8,36.4,63.6,4,36.4
賽日,2026-07-08_HappyValley,9,small,4,44.4,4,44.4,1,11.1,88.9,44.4,11.1,0,0.0
賽日,2026-07-12_ShaTin,11,small,4,36.4,7,63.6,0,0.0,100.0,27.3,63.6,6,54.5
賽日,2026-07-15_HappyValley,9,small,5,55.6,1,11.1,3,33.3,66.7,11.1,44.4,4,44.4
場地,沙田,148,stable,44,29.7,71,48.0,33,22.3,77.7,38.5,37.2,35,23.6
場地,跑馬地,97,stable,31,32.0,46,47.4,20,20.6,79.4,36.1,35.1,23,23.7
班次,未知,2,small,1,50.0,0,0.0,1,50.0,50.0,50.0,50.0,1,50.0
班次,第1班,2,small,1,50.0,1,50.0,0,0.0,100.0,0.0,100.0,2,100.0
班次,第2班,7,small,3,42.9,4,57.1,0,0.0,100.0,42.9,42.9,1,14.3
班次,第3班,27,stable,8,29.6,14,51.9,5,18.5,81.5,37.0,33.3,7,25.9
班次,第4班,184,stable,56,30.4,85,46.2,43,23.4,76.6,35.9,37.0,42,22.8
班次,第5班,15,stable,4,26.7,9,60.0,2,13.3,86.7,46.7,33.3,5,33.3
班次,級際／表列,8,small,2,25.0,4,50.0,2,25.0,75.0,62.5,12.5,0,0.0
路程,1000米,21,stable,6,28.6,11,52.4,4,19.0,81.0,19.0,57.1,7,33.3
路程,1200米,98,stable,28,28.6,47,48.0,23,23.5,76.5,34.7,37.8,26,26.5
路程,1400米,43,stable,13,30.2,21,48.8,9,20.9,79.1,41.9,41.9,12,27.9
路程,1600／1650米,53,stable,17,32.1,25,47.2,11,20.8,79.2,49.1,24.5,8,15.1
路程,1800米,21,stable,7,33.3,10,47.6,4,19.0,81.0,28.6,23.8,2,9.5
路程,2000米或以上,8,small,3,37.5,3,37.5,2,25.0,75.0,50.0,37.5,2,25.0
路程,未知,1,small,1,100.0,0,0.0,0,0.0,100.0,0.0,100.0,1,100.0
馬數,10–11匹,18,stable,6,33.3,8,44.4,4,22.2,77.8,44.4,33.3,4,22.2
馬數,12–14匹,217,stable,69,31.8,103,47.5,45,20.7,79.3,34.6,37.3,54,24.9
馬數,9匹或以下,10,small,0,0.0,6,60.0,4,40.0,60.0,90.0,20.0,0,0.0
第二選信心分,60–<70,63,stable,14,22.2,29,46.0,20,31.7,68.3,47.6,34.9,13,20.6
第二選信心分,70–<80,1,small,0,0.0,1,100.0,0,0.0,100.0,100.0,100.0,0,0.0
第二選信心分,≤60,8,small,3,37.5,3,37.5,2,25.0,75.0,25.0,37.5,2,25.0
第二選信心分,≥80,173,stable,58,33.5,84,48.6,31,17.9,82.1,34.1,36.4,43,24.9
第二選風險分,60–<70,152,stable,47,30.9,68,44.7,37,24.3,75.7,36.8,34.2,36,23.7
第二選風險分,70–<80,90,stable,27,30.0,47,52.2,16,17.8,82.2,37.8,38.9,21,23.3
第二選風險分,≤60,3,small,1,33.3,2,66.7,0,0.0,100.0,66.7,66.7,1,33.3
第一／第二選分差,>0.5–1.0,46,stable,21,45.7,19,41.3,6,13.0,87.0,23.9,58.7,16,34.8
第一／第二選分差,>1.0–2.0,58,stable,18,31.0,24,41.4,16,27.6,72.4,34.5,36.2,16,27.6
第一／第二選分差,>2.0,82,stable,19,23.2,43,52.4,20,24.4,75.6,47.6,26.8,14,17.1
第一／第二選分差,≤0.5,59,stable,17,28.8,31,52.5,11,18.6,81.4,37.3,32.2,12,20.3
第二／第三選分差,>0.5–1.0,52,stable,18,34.6,22,42.3,12,23.1,76.9,32.7,26.9,10,19.2
第二／第三選分差,>1.0–2.0,77,stable,23,29.9,39,50.6,15,19.5,80.5,36.4,36.4,18,23.4
第二／第三選分差,>2.0,31,stable,6,19.4,15,48.4,10,32.3,67.7,51.6,22.6,2,6.5
第二／第三選分差,≤0.5,85,stable,28,32.9,41,48.2,16,18.8,81.2,36.5,47.1,28,32.9
時段×第二選信心分,archive｜60–<70,62,stable,13,21.0,29,46.8,20,32.3,67.7,48.4,33.9,12,19.4
時段×第二選信心分,archive｜≤60,8,small,3,37.5,3,37.5,2,25.0,75.0,25.0,37.5,2,25.0
時段×第二選信心分,archive｜≥80,57,stable,17,29.8,28,49.1,12,21.1,78.9,38.6,28.1,10,17.5
時段×第二選信心分,external_2026_07_15｜≥80,9,small,5,55.6,1,11.1,3,33.3,66.7,11.1,44.4,4,44.4
時段×第二選信心分,independent_recent｜60–<70,1,small,1,100.0,0,0.0,0,0.0,100.0,0.0,100.0,1,100.0
時段×第二選信心分,independent_recent｜70–<80,1,small,0,0.0,1,100.0,0,0.0,100.0,100.0,100.0,0,0.0
時段×第二選信心分,independent_recent｜≥80,107,stable,36,33.6,55,51.4,16,15.0,85.0,33.6,40.2,29,27.1
時段×第一／第二選分差,archive｜>0.5–1.0,22,stable,8,36.4,10,45.5,4,18.2,81.8,40.9,54.5,6,27.3
時段×第一／第二選分差,archive｜>1.0–2.0,33,stable,10,30.3,11,33.3,12,36.4,63.6,27.3,27.3,6,18.2
時段×第一／第二選分差,archive｜>2.0,42,stable,9,21.4,21,50.0,12,28.6,71.4,52.4,21.4,7,16.7
時段×第一／第二選分差,archive｜≤0.5,30,stable,6,20.0,18,60.0,6,20.0,80.0,46.7,33.3,5,16.7
時段×第一／第二選分差,external_2026_07_15｜>0.5–1.0,1,small,1,100.0,0,0.0,0,0.0,100.0,0.0,100.0,1,100.0
時段×第一／第二選分差,external_2026_07_15｜>1.0–2.0,1,small,1,100.0,0,0.0,0,0.0,100.0,0.0,100.0,1,100.0
時段×第一／第二選分差,external_2026_07_15｜>2.0,4,small,2,50.0,0,0.0,2,50.0,50.0,0.0,0.0,0,0.0
時段×第一／第二選分差,external_2026_07_15｜≤0.5,3,small,1,33.3,1,33.3,1,33.3,66.7,33.3,66.7,2,66.7
時段×第一／第二選分差,independent_recent｜>0.5–1.0,23,stable,12,52.2,9,39.1,2,8.7,91.3,8.7,60.9,9,39.1
時段×第一／第二選分差,independent_recent｜>1.0–2.0,24,stable,7,29.2,13,54.2,4,16.7,83.3,45.8,45.8,9,37.5
時段×第一／第二選分差,independent_recent｜>2.0,36,stable,8,22.2,22,61.1,6,16.7,83.3,47.2,36.1,7,19.4
時段×第一／第二選分差,independent_recent｜≤0.5,26,stable,10,38.5,12,46.2,4,15.4,84.6,26.9,26.9,5,19.2
時段×第二／第三選分差,archive｜>0.5–1.0,30,stable,8,26.7,12,40.0,10,33.3,66.7,43.3,23.3,3,10.0
時段×第二／第三選分差,archive｜>1.0–2.0,40,stable,12,30.0,19,47.5,9,22.5,77.5,40.0,32.5,9,22.5
時段×第二／第三選分差,archive｜>2.0,20,stable,3,15.0,8,40.0,9,45.0,55.0,55.0,20.0,1,5.0
時段×第二／第三選分差,archive｜≤0.5,37,stable,10,27.0,21,56.8,6,16.2,83.8,37.8,43.2,11,29.7
時段×第二／第三選分差,external_2026_07_15｜>0.5–1.0,1,small,0,0.0,1,100.0,0,0.0,100.0,0.0,100.0,1,100.0
時段×第二／第三選分差,external_2026_07_15｜>1.0–2.0,4,small,2,50.0,0,0.0,2,50.0,50.0,0.0,25.0,1,25.0
時段×第二／第三選分差,external_2026_07_15｜≤0.5,4,small,3,75.0,0,0.0,1,25.0,75.0,25.0,50.0,2,50.0
時段×第二／第三選分差,independent_recent｜>0.5–1.0,21,stable,10,47.6,9,42.9,2,9.5,90.5,19.0,28.6,6,28.6
時段×第二／第三選分差,independent_recent｜>1.0–2.0,33,stable,9,27.3,20,60.6,4,12.1,87.9,36.4,42.4,8,24.2
時段×第二／第三選分差,independent_recent｜>2.0,11,small,3,27.3,7,63.6,1,9.1,90.9,45.5,27.3,1,9.1
時段×第二／第三選分差,independent_recent｜≤0.5,44,stable,15,34.1,20,45.5,9,20.5,79.5,36.4,50.0,15,34.1
